TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073714.00  ENLEM: 25653.000000 BOYLAM: 57728.000000  RAKIM: 123.2
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073715.00  ENLEM: 25651.000000 BOYLAM: 57717.000000  RAKIM: 123.0
TARİH: 050717 SAAT: 073716.00  ENLEM: 25650.000000 BOYLAM: 57709.000000  RAKIM: 123.3
TARİH: 050717 SAAT: 073716.00  ENLEM: 25650.000000 BOYLAM: 57709.000000  RAKIM: 123.3
TARİH: 050717 SAAT: 073716.00  ENLEM: 25650.000000 BOYLAM: 57709.000000  RAKIM: 123.3
TARİH: 050717 SAAT: 073716.00  ENLEM: 25650.000000 BOYLAM: 57709.000000  RAKIM: 123.3
